Date,Day,Comp,Round,Venue,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Opp_code,Day_code,Result_Type,Scores
2023-07-25,Tue,Champions Lg,Second qualifying round,0,ch Servette FC,Y,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1.0,D,1–1
2023-07-29,Sat,Pro League A,Regular season,0,RWD Molenbeek,Y,61.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,45.0,3.0,0.0,0.0,0.7,0.7,0.0,4.0,2.0,22.0,30.0,73.3,6.0,32.0,4.0,6.0,3.0,9,5.0,W,4–0
2023-08-02,Wed,Champions Lg,Second qualifying round,1,ch Servette FC,N,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2.0,D,2
2023-08-17,Thu,Europa Lg,Third qualifying round,1,gr Olympiacos,Y,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3.0,D,1–1
2023-08-20,Sun,Pro League A,Regular season,1,Charleroi,Y,45.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.1,0.1,0.1,4.0,0.0,9.0,12.0,75.0,1.0,13.0,1.0,1.0,0.0,3,6.0,D,0–0
2023-08-24,Thu,Conf Lg,Play-off round,1,tr Adana Demirspor,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3.0,W,2–1
2023-08-31,Thu,Conf Lg,Play-off round,0,tr Adana Demirspor,Y,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3.0,L,0
2023-09-10,Sun,Africa Cup of Nations qualification,Group stage,2,cg Congo,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6.0,D,2–2
2023-09-16,Sat,Pro League A,Regular season,0,Union SG,N,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,0.0,0.0,0.6,2.0,0.0,6.0,11.0,54.5,2.0,16.0,1.0,4.0,0.0,12,5.0,W,2–0
2023-09-21,Thu,Conf Lg,Group stage,1,it Fiorentina,Y,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,8.0,15.0,53.3,1.0,21.0,0.0,4.0,0.0,23,3.0,D,2–2
2023-09-28,Thu,Pro League A,Regular season,0,Club Brugge,Y,80.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,41.0,4.0,1.0,0.0,0.2,0.2,0.5,3.0,0.0,18.0,21.0,85.7,4.0,29.0,2.0,6.0,1.0,4,3.0,D,1–1
2023-10-01,Sun,Pro League A,Regular season,1,Westerlo,N,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,1.0,2.0,50.0,0.0,3.0,0.0,1.0,1.0,13,6.0,D,3–3
2023-10-05,Thu,Conf Lg,Group stage,0,rs Čukarički,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3.0,W,2–0
2023-10-08,Sun,Pro League A,Regular season,0,Gent,Y,67.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,33.0,0.0,0.0,0.0,0.2,0.2,0.2,3.0,0.0,19.0,23.0,82.6,2.0,26.0,1.0,2.0,0.0,6,6.0,D,1–1
2023-10-26,Thu,Conf Lg,Group stage,1,hu Ferencváros,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3.0,D,0–0
2023-10-29,Sun,Pro League A,Regular season,0,Kortrijk,Y,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,17.0,24.0,70.8,0.0,25.0,2.0,3.0,1.0,7,6.0,W,3–0
2023-11-04,Sat,Pro League A,Regular season,0,Antwerp,N,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,8.0,62.5,0.0,7.0,1.0,1.0,0.0,1,5.0,L,2–3
2023-11-09,Thu,Conf Lg,Group stage,0,hu Ferencváros,N,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,80.0,1.0,7.0,0.0,3.0,1.0,22,3.0,D,1–1
2023-11-16,Thu,WCQ,First round,2,bi Burundi,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3.0,L,2–3
2023-11-20,Mon,WCQ,First round,2,ci Côte d'Ivoire,Y,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,L,0–2
2023-11-25,Sat,Pro League A,Regular season,0,Standard Liège,N,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.7,3.0,0.0,7.0,10.0,70.0,1.0,12.0,4.0,0.0,0.0,11,5.0,L,0–1
2023-11-30,Thu,Conf Lg,Group stage,0,it Fiorentina,Y,42.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,1.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,6.0,14.0,42.9,0.0,19.0,3.0,2.0,1.0,23,3.0,L,1–2
2023-12-03,Sun,Pro League A,Regular season,1,Gent,Y,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,3.0,1.0,0.0,0.0,0.0,0.2,3.0,0.0,30.0,38.0,78.9,1.0,39.0,4.0,4.0,2.0,6,6.0,D,2–2
2023-12-10,Sun,Pro League A,Regular season,0,Eupen,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,62.0,2.0,1.0,4.0,0.0,0.0,0.7,8.0,1.0,38.0,50.0,76.0,1.0,47.0,2.0,4.0,2.0,5,6.0,W,3–1
2023-12-14,Thu,Conf Lg,Group stage,1,rs Čukarički,Y,37.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,22.0,2.0,0.0,1.0,0.3,0.2,0.0,3.0,1.0,6.0,13.0,46.2,0.0,8.0,1.0,2.0,1.0,24,3.0,W,2–0
2023-12-17,Sun,Pro League A,Regular season,1,Kortrijk,Y,76.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,2.0,0.0,2.0,0.0,0.0,0.3,2.0,1.0,35.0,44.0,79.5,3.0,44.0,3.0,3.0,1.0,7,6.0,W,4–0
2023-12-23,Sat,Pro League A,Regular season,0,Anderlecht,Y,85.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,52.0,2.0,0.0,1.0,0.4,0.4,0.7,5.0,0.0,21.0,33.0,63.6,1.0,36.0,4.0,4.0,0.0,0,5.0,L,1–2
2023-12-26,Tue,Pro League A,Regular season,1,Antwerp,Y,89.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,45.0,2.0,0.0,1.0,0.3,0.3,0.2,9.0,2.0,21.0,33.0,63.6,1.0,41.0,6.0,5.0,3.0,1,1.0,W,3–0
2024-01-15,Mon,Africa Cup of Nations,Group stage,2,sn Senegal,N,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.0,L,0–3
2024-01-19,Fri,Africa Cup of Nations,Group stage,2,gn Guinea,Y,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,4.0,L,0–1
2024-01-23,Tue,Africa Cup of Nations,Group stage,2,cm Cameroon,N,22.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1.0,L,2–3
2024-01-28,Sun,Pro League A,Regular season,0,Sint-Truiden,Y,88.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,39.0,2.0,1.0,0.0,0.5,0.5,0.8,4.0,1.0,17.0,23.0,73.9,0.0,16.0,1.0,2.0,0.0,10,6.0,D,1–1
2024-01-31,Wed,Pro League A,Regular season,0,OH Leuven,Y,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,18.0,26.0,69.2,1.0,23.0,2.0,0.0,0.0,8,2.0,L,1–2
2024-04-01,Mon,Pro League A,Champions play-offs,1,Union SG,N,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,33.3,0.0,5.0,1.0,1.0,0.0,12,0.0,W,1–0
2024-04-06,Sat,Pro League A,Champions play-offs,0,Antwerp,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,W,1–0
2024-04-13,Sat,Pro League A,Champions play-offs,1,Cercle Brugge,N,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,6.0,1.0,4.0,1.0,2,5.0,D,1–1
2024-04-20,Sat,Pro League A,Champions play-offs,1,Anderlecht,Y,89.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,84.0,8.0,1.0,2.0,0.3,0.3,0.4,5.0,1.0,42.0,58.0,72.4,3.0,43.0,6.0,5.0,1.0,0,5.0,W,2–1
2024-04-24,Wed,Pro League A,Champions play-offs,0,Club Brugge,Y,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.0,5.0,1.0,0.0,0.1,0.1,0.0,1.0,0.0,27.0,37.0,73.0,5.0,36.0,7.0,4.0,1.0,4,2.0,L,0–4
2024-04-28,Sun,Pro League A,Champions play-offs,1,Club Brugge,N,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,73.3,3.0,14.0,0.0,1.0,0.0,4,6.0,L,0–3
2024-05-04,Sat,Pro League A,Champions play-offs,0,Cercle Brugge,N,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.1,0.1,0.1,3.0,0.0,16.0,20.0,80.0,3.0,17.0,2.0,2.0,1.0,2,5.0,L,1–4
2024-05-11,Sat,Pro League A,Champions play-offs,0,Anderlecht,N,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.1,5.0,0.0,15.0,16.0,93.8,2.0,17.0,4.0,2.0,1.0,0,5.0,L,1–2
2024-05-20,Mon,Pro League A,Champions play-offs,1,Antwerp,N,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,1.0,1.0,0.0,0.1,0.1,0.2,1.0,0.0,9.0,14.0,64.3,0.0,20.0,2.0,1.0,1.0,1,0.0,W,1–0
2024-05-26,Sun,Pro League A,Champions play-offs,0,Union SG,Y,56.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,2.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,16.0,20.0,80.0,1.0,29.0,1.0,4.0,0.0,12,6.0,L,0–2
2024-06-02,Sun,Pro League A,European competition play-off,1,Gent,N,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,6,6.0,L,0–1
2024-06-08,Sat,WCQ,First round,2,sc Seychelles,Y,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5.0,W,5–1
2024-06-11,Tue,WCQ,First round,0,ga Gabon,Y,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1.0,L,2–3
