Date,Day,Comp,Round,Venue,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Opp_code,Day_code,Result_Type,Scores
2023-09-16,Sat,Pro League A,Regular season,0,Union SG,Y,76,1,0,0,0,2,1,0,0,24.0,0.0,0,0.0,0.9,0.9,0.0,2.0,0.0,9.0,16.0,56.3,2.0,22.0,0.0,3.0,2.0,13,5,W,2–0
2023-09-21,Thu,Conf Lg,Group stage,1,it Fiorentina,Y,71,1,0,0,0,2,1,0,0,25.0,0.0,0,0.0,0.9,0.9,0.0,0.0,0.0,15.0,19.0,78.9,2.0,16.0,0.0,2.0,1.0,18,3,D,2–2
2023-09-24,Sun,Pro League A,Regular season,1,Sint-Truiden,Y,69,0,0,0,0,4,1,0,0,13.0,0.0,0,1.0,0.3,0.3,0.0,0.0,0.0,5.0,7.0,71.4,0.0,7.0,1.0,0.0,0.0,11,6,D,3–3
2023-09-28,Thu,Pro League A,Regular season,0,Club Brugge,Y,56,0,0,0,0,3,2,0,0,15.0,0.0,0,0.0,0.6,0.6,0.0,1.0,0.0,6.0,8.0,75.0,1.0,9.0,0.0,1.0,1.0,4,3,D,1–1
2023-10-01,Sun,Pro League A,Regular season,1,Westerlo,N,28,0,0,0,0,0,0,0,0,10.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,50.0,0.0,4.0,0.0,1.0,0.0,14,6,D,3–3
2023-10-05,Thu,Conf Lg,Group stage,0,rs Čukarički,N,15,0,0,0,0,2,1,0,0,9.0,0.0,1,0.0,0.2,0.2,0.6,1.0,0.0,3.0,6.0,50.0,1.0,2.0,0.0,0.0,0.0,20,3,W,2–0
2023-10-08,Sun,Pro League A,Regular season,0,Gent,Y,67,1,0,0,0,5,1,1,0,23.0,0.0,0,0.0,0.4,0.4,0.0,3.0,0.0,7.0,11.0,63.6,2.0,17.0,2.0,1.0,0.0,6,6,D,1–1
2023-10-15,Sun,UEFA Euro Qualifying,Group stage,1,by Belarus,N,29,0,0,0,0,2,1,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6,D,3–3
2023-10-22,Sun,Pro League A,Regular season,1,Mechelen,Y,79,0,0,0,0,6,2,0,0,33.0,0.0,1,1.0,0.6,0.6,0.0,4.0,1.0,10.0,17.0,58.8,1.0,25.0,1.0,3.0,3.0,8,6,W,4–0
2023-10-26,Thu,Conf Lg,Group stage,1,hu Ferencváros,Y,74,0,0,0,0,3,1,0,0,23.0,0.0,0,2.0,0.3,0.3,0.0,0.0,0.0,4.0,7.0,57.1,1.0,12.0,0.0,0.0,0.0,16,3,D,0–0
2023-10-29,Sun,Pro League A,Regular season,0,Kortrijk,N,15,0,0,0,0,1,1,0,0,7.0,0.0,0,0.0,0.4,0.4,0.0,1.0,1.0,2.0,3.0,66.7,0.0,5.0,0.0,1.0,0.0,7,6,W,3–0
2023-11-04,Sat,Pro League A,Regular season,0,Antwerp,Y,61,1,0,0,0,5,3,0,0,16.0,0.0,0,0.0,1.5,1.5,0.0,2.0,1.0,9.0,10.0,90.0,1.0,9.0,3.0,1.0,1.0,1,5,L,2–3
2023-11-09,Thu,Conf Lg,Group stage,0,hu Ferencváros,Y,87,0,0,0,0,2,1,0,0,29.0,0.0,0,1.0,0.8,0.8,0.0,0.0,0.0,12.0,18.0,66.7,0.0,13.0,0.0,0.0,0.0,16,3,D,1–1
2023-11-12,Sun,Pro League A,Regular season,1,OH Leuven,N,1,0,0,0,0,0,0,1,0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,6,W,3–1
2023-11-15,Wed,UEFA Euro Qualifying,Group stage,0,il Israel,N,21,0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2,D,1–1
2023-11-18,Sat,UEFA Euro Qualifying,Group stage,1,xk Kosovo,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,5,D,1–1
2023-11-21,Tue,UEFA Euro Qualifying,Group stage,0,ro Romania,N,10,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,L,0–1
2023-11-25,Sat,Pro League A,Regular season,0,Standard Liège,Y,61,0,0,0,0,1,1,0,0,16.0,0.0,0,5.0,0.1,0.1,0.0,1.0,0.0,5.0,9.0,55.6,1.0,7.0,0.0,1.0,0.0,12,5,L,0–1
2023-11-30,Thu,Conf Lg,Group stage,0,it Fiorentina,N,33,0,0,0,0,1,0,1,0,13.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,8.0,0.0,1.0,0.0,18,3,L,1–2
2023-12-03,Sun,Pro League A,Regular season,1,Gent,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,D,2–2
2023-12-10,Sun,Pro League A,Regular season,0,Eupen,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,W,3–1
2023-12-14,Thu,Conf Lg,Group stage,1,rs Čukarički,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,W,2–0
2023-12-17,Sun,Pro League A,Regular season,1,Kortrijk,N,26,0,0,0,0,1,0,0,0,5.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,4.0,4.0,100.0,0.0,2.0,0.0,0.0,0.0,7,6,W,4–0
2023-12-23,Sat,Pro League A,Regular season,0,Anderlecht,N,1,0,0,0,0,1,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0,5,L,1–2
2023-12-26,Tue,Pro League A,Regular season,1,Antwerp,N,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,W,3–0
2024-01-20,Sat,Pro League A,Regular season,1,Cercle Brugge,N,28,1,0,0,0,3,1,0,0,17.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,6.0,10.0,60.0,1.0,8.0,1.0,2.0,2.0,2,5,D,1–1
2024-01-28,Sun,Pro League A,Regular season,0,Sint-Truiden,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,D,1–1
2024-01-31,Wed,Pro League A,Regular season,0,OH Leuven,N,45,0,0,0,0,4,1,0,0,19.0,0.0,0,0.0,0.4,0.4,0.0,1.0,0.0,7.0,9.0,77.8,2.0,11.0,1.0,1.0,0.0,9,2,L,1–2
2024-02-03,Sat,Pro League A,Regular season,1,Union SG,N,5,0,0,0,0,1,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,13,5,L,0–1
2024-02-11,Sun,Pro League A,Regular season,0,Mechelen,N,3,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,2.0,0.0,0.0,0.0,8,6,D,1–1
2024-02-17,Sat,Pro League A,Regular season,1,RWD Molenbeek,N,27,1,0,0,0,1,1,0,0,10.0,1.0,0,1.0,0.1,0.1,0.0,1.0,0.0,4.0,4.0,100.0,0.0,9.0,0.0,1.0,0.0,10,5,W,3–1
2024-02-23,Fri,Pro League A,Regular season,0,Charleroi,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,W,1–0
2024-03-03,Sun,Pro League A,Regular season,1,Club Brugge,N,21,0,0,0,0,0,0,1,0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,3.0,0.0,0.0,0.0,4,6,L,0–3
2024-03-10,Sun,Pro League A,Regular season,1,Standard Liège,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,W,1–0
2024-03-17,Sun,Pro League A,Regular season,0,Westerlo,N,16,0,0,0,0,1,0,0,0,8.0,0.0,0,1.0,0.2,0.2,0.0,0.0,0.0,4.0,4.0,100.0,1.0,5.0,0.0,0.0,0.0,14,6,D,1–1
2024-04-01,Mon,Pro League A,Champions play-offs,1,Union SG,N,4,0,0,0,0,0,0,0,0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,2.0,0.0,13,0,W,1–0
2024-04-06,Sat,Pro League A,Champions play-offs,0,Antwerp,N,7,0,0,0,0,2,0,0,0,9.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,3.0,3.0,100.0,0.0,4.0,0.0,3.0,1.0,1,5,W,1–0
2024-04-13,Sat,Pro League A,Champions play-offs,1,Cercle Brugge,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,D,1–1
2024-04-20,Sat,Pro League A,Champions play-offs,1,Anderlecht,N,18,1,0,1,1,2,0,0,0,12.0,0.0,1,0.0,0.9,0.1,0.0,2.0,0.0,3.0,4.0,75.0,0.0,6.0,2.0,4.0,2.0,0,5,W,2–1
2024-04-24,Wed,Pro League A,Champions play-offs,0,Club Brugge,N,30,0,0,0,0,5,1,0,0,14.0,0.0,0,0.0,0.3,0.3,0.0,0.0,0.0,5.0,8.0,62.5,0.0,10.0,2.0,0.0,0.0,4,2,L,0–4
2024-04-28,Sun,Pro League A,Champions play-offs,1,Club Brugge,N,27,0,0,0,0,2,0,0,0,10.0,0.0,0,0.0,0.2,0.2,0.0,1.0,0.0,7.0,8.0,87.5,2.0,6.0,0.0,0.0,0.0,4,6,L,0–3
2024-05-04,Sat,Pro League A,Champions play-offs,0,Cercle Brugge,N,34,0,0,0,0,3,2,0,0,13.0,0.0,0,0.0,0.7,0.7,1.0,3.0,0.0,7.0,9.0,77.8,4.0,14.0,0.0,0.0,0.0,2,5,L,1–4
2024-05-11,Sat,Pro League A,Champions play-offs,0,Anderlecht,Y,67,0,0,0,0,3,0,0,0,30.0,0.0,1,1.0,0.2,0.2,0.1,3.0,0.0,20.0,22.0,90.9,0.0,26.0,3.0,3.0,2.0,0,5,L,1–2
2024-05-20,Mon,Pro League A,Champions play-offs,1,Antwerp,Y,45,1,0,0,0,1,1,0,0,21.0,1.0,0,0.0,0.6,0.6,0.0,1.0,0.0,10.0,13.0,76.9,0.0,15.0,1.0,1.0,1.0,1,0,W,1–0
2024-05-26,Sun,Pro League A,Champions play-offs,0,Union SG,N,34,0,0,0,0,1,0,1,0,12.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,88.9,1.0,10.0,0.0,1.0,0.0,13,6,L,0–2
2024-06-02,Sun,Pro League A,European competition play-off,1,Gent,Y,82,0,0,0,0,2,1,0,0,33.0,2.0,0,0.0,0.1,0.1,0.0,0.0,0.0,17.0,24.0,70.8,3.0,26.0,2.0,1.0,0.0,6,6,L,0–1
