Date,Day,Comp,Round,Venue,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Opp_code,Day_code,Result_Type,Scores
2023-07-25,Tue,Champions Lg,Second qualifying round,0,ch Servette FC,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1.0,D,1–1
2023-08-02,Wed,Champions Lg,Second qualifying round,1,ch Servette FC,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2.0,D,2
2023-08-05,Sat,Pro League A,Regular season,1,Eupen,Y,60.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.2,0.2,0.0,3.0,0.0,54.0,62.0,87.1,11.0,50.0,4.0,1.0,0.0,3,5.0,L,0–1
2023-08-10,Thu,Europa Lg,Third qualifying round,0,gr Olympiacos,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3.0,L,0–1
2023-08-13,Sun,Pro League A,Regular season,0,Cercle Brugge,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,2,6.0,W,1–0
2023-08-24,Thu,Conf Lg,Play-off round,1,tr Adana Demirspor,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3.0,W,2–1
2023-08-31,Thu,Conf Lg,Play-off round,0,tr Adana Demirspor,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3.0,L,0
2023-09-07,Thu,WCQ,WCQ — CONMEBOL (M),0,ar Argentina,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3.0,L,0–1
2023-09-12,Tue,WCQ,WCQ — CONMEBOL (M),1,uy Uruguay,Y,83.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1.0,W,2–1
2023-09-17,Sun,First League,Regular season,1,Slovácko,N,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6.0,W,5–0
2023-09-21,Thu,Europa Lg,Group stage,1,cy Aris Limassol FC,Y,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,69.0,3.0,1.0,5.0,0.1,0.1,0.1,3.0,0.0,38.0,53.0,71.7,2.0,29.0,3.0,0.0,0.0,19,3.0,W,3–2
2023-09-24,Sun,First League,Regular season,0,Slavia Prague,Y,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,6.0,D,1–1
2023-09-30,Sat,First League,Regular season,1,Viktoria Plzeň,Y,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5.0,W,2–1
2023-10-05,Thu,Europa Lg,Group stage,0,es Betis,N,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.5,2.0,0.0,6.0,8.0,75.0,0.0,7.0,1.0,1.0,1.0,21,3.0,L,1–2
2023-10-08,Sun,First League,Regular season,0,Hradec Králové,Y,67.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6.0,W,3–1
2023-10-12,Thu,WCQ,WCQ — CONMEBOL (M),0,bo Bolivia,N,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3.0,W,2–1
2023-10-17,Tue,WCQ,WCQ — CONMEBOL (M),1,co Colombia,Y,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1.0,D,0–0
2023-10-22,Sun,First League,Regular season,1,České Budĕjov.,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,6.0,W,4–0
2023-10-26,Thu,Europa Lg,Group stage,1,sct Rangers,Y,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,72.2,1.0,7.0,1.0,0.0,0.0,28,3.0,D,0–0
2023-11-04,Sat,First League,Regular season,1,Bohemians 1905,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,W,2–0
2023-11-09,Thu,Europa Lg,Group stage,0,sct Rangers,Y,90.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,57.0,2.0,1.0,0.0,0.1,0.1,0.1,1.0,1.0,35.0,44.0,79.5,3.0,34.0,3.0,3.0,1.0,28,3.0,L,1–2
2023-11-12,Sun,First League,Regular season,0,Baník Ostrava,Y,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,W,1–0
2023-11-16,Thu,WCQ,WCQ — CONMEBOL (M),0,ve Venezuela,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,3.0,D,0–0
2023-11-21,Tue,WCQ,WCQ — CONMEBOL (M),1,cl Chile,Y,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0,W,1–0
2023-11-26,Sun,First League,Regular season,1,Fastav Zlín,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6.0,W,2–0
2023-11-30,Thu,Europa Lg,Group stage,1,es Betis,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,30.0,37.0,81.1,0.0,19.0,6.0,4.0,2.0,21,3.0,W,1–0
2023-12-03,Sun,First League,Regular season,0,FK Pardubice,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6.0,W,2–1
2023-12-09,Sat,First League,Regular season,1,Jablonec,Y,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5.0,W,3–0
2023-12-14,Thu,Europa Lg,Group stage,0,cy Aris Limassol FC,Y,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,62.5,1.0,4.0,0.0,0.0,0.0,19,3.0,W,3–1
2024-02-10,Sat,First League,Regular season,0,Karviná,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5.0,W,3–0
2024-02-15,Thu,Europa Lg,Knockout round play-offs,0,tr Galatasaray,Y,73.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,2.0,0.0,2.0,0.0,0.0,0.3,3.0,1.0,16.0,26.0,61.5,2.0,19.0,2.0,4.0,2.0,30,3.0,L,2–3
2024-02-18,Sun,First League,Regular season,1,Slovan Liberec,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6.0,W,2–1
2024-02-22,Thu,Europa Lg,Knockout round play-offs,1,tr Galatasaray,Y,90.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,46.0,3.0,1.0,2.0,0.6,0.6,0.3,2.0,0.0,21.0,32.0,65.6,4.0,18.0,5.0,1.0,1.0,30,3.0,W,4–1
2024-02-25,Sun,First League,Regular season,0,Slovácko,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6.0,W,3–1
2024-03-03,Sun,First League,Regular season,1,Slavia Prague,Y,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,6.0,D,0–0
2024-03-07,Thu,Europa Lg,Round of 16,1,eng Liverpool,Y,90.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,54.0,1.0,0.0,1.0,0.1,0.1,0.1,3.0,0.0,31.0,41.0,75.6,3.0,23.0,2.0,5.0,2.0,20,3.0,L,1–5
