Date,Day,Comp,Round,Venue,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Opp_code,Day_code,Result_Type,Scores
2023-07-25,Tue,Champions Lg,Second qualifying round,0,ch Servette FC,Y,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1.0,D,1–1
2023-07-29,Sat,Pro League A,Regular season,0,RWD Molenbeek,N,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,15.0,86.7,3.0,15.0,2.0,1.0,1.0,10,5.0,W,4–0
2023-08-02,Wed,Champions Lg,Second qualifying round,1,ch Servette FC,Y,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2.0,D,2
2023-08-05,Sat,Pro League A,Regular season,1,Eupen,Y,90.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,79.0,1.0,0.0,0.0,0.2,0.2,0.2,10.0,0.0,56.0,68.0,82.4,17.0,66.0,7.0,3.0,2.0,5,5.0,L,0–1
2023-08-10,Thu,Europa Lg,Third qualifying round,0,gr Olympiacos,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3.0,L,0–1
2023-08-13,Sun,Pro League A,Regular season,0,Cercle Brugge,Y,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,59.0,2.0,0.0,1.0,0.1,0.1,0.1,2.0,0.0,37.0,51.0,72.5,7.0,40.0,1.0,1.0,0.0,2,6.0,W,1–0
2023-08-17,Thu,Europa Lg,Third qualifying round,1,gr Olympiacos,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3.0,D,1–1
2023-08-20,Sun,Pro League A,Regular season,1,Charleroi,Y,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,74.0,1.0,2.0,2.0,0.1,0.1,0.7,5.0,0.0,43.0,65.0,66.2,10.0,49.0,6.0,1.0,1.0,3,6.0,D,0–0
2023-08-24,Thu,Conf Lg,Play-off round,1,tr Adana Demirspor,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3.0,W,2–1
2023-08-31,Thu,Conf Lg,Play-off round,0,tr Adana Demirspor,Y,93.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3.0,L,0
