Date,Day,Comp,Round,Venue,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Opp_code,Day_code,Result_Type,Scores
2023-07-25,Tue,Champions Lg,Second qualifying round,0,ch Servette FC,Y*,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1.0,D,1–1
2023-07-29,Sat,Pro League A,Regular season,0,RWD Molenbeek,Y*,75.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,68.0,4.0,1.0,2.0,1.0,0.2,0.0,4.0,2.0,38.0,50.0,76.0,9.0,50.0,3.0,1.0,0.0,9,5.0,W,4–0
2023-08-02,Wed,Champions Lg,Second qualifying round,1,ch Servette FC,Y*,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2.0,D,2
2023-08-31,Thu,Conf Lg,Play-off round,0,tr Adana Demirspor,N,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3.0,L,0
2023-09-03,Sun,Pro League A,Regular season,1,Anderlecht,Y*,90.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,34.0,1.0,0.0,1.0,0.4,0.4,0.0,0.0,0.0,17.0,23.0,73.9,1.0,22.0,0.0,1.0,0.0,0,6.0,D,1–1
2023-09-16,Sat,Pro League A,Regular season,0,Union SG,Y*,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,16.0,20.0,80.0,5.0,21.0,0.0,0.0,0.0,12,5.0,W,2–0
2023-09-21,Thu,Conf Lg,Group stage,1,it Fiorentina,Y*,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,28.0,71.4,8.0,24.0,1.0,0.0,0.0,16,3.0,D,2–2
2023-09-24,Sun,Pro League A,Regular season,1,Sint-Truiden,Y*,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,1.0,2.0,2.0,0.1,0.1,0.0,2.0,1.0,16.0,28.0,57.1,5.0,26.0,0.0,2.0,0.0,10,6.0,D,3–3
2023-09-28,Thu,Pro League A,Regular season,0,Club Brugge,Y*,60.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,42.0,1.0,2.0,2.0,0.2,0.2,0.4,6.0,1.0,20.0,26.0,76.9,6.0,24.0,1.0,2.0,1.0,3,3.0,D,1–1
2023-10-01,Sun,Pro League A,Regular season,1,Westerlo,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,2.0,4.0,1.0,0.0,0.0,13,6.0,D,3–3
2023-10-05,Thu,Conf Lg,Group stage,0,rs Čukarički,Y*,90.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,64.0,4.0,2.0,0.0,0.6,0.6,0.0,3.0,1.0,37.0,50.0,74.0,8.0,24.0,1.0,1.0,1.0,17,3.0,W,2–0
2023-10-08,Sun,Pro League A,Regular season,0,Gent,Y*,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,3.0,0.0,1.0,0.2,0.2,0.2,5.0,0.0,23.0,31.0,74.2,2.0,25.0,0.0,1.0,0.0,5,6.0,D,1–1
2023-10-22,Sun,Pro League A,Regular season,1,Mechelen,Y*,90.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,0.2,0.2,0.3,4.0,2.0,31.0,36.0,86.1,3.0,34.0,2.0,2.0,1.0,7,6.0,W,4–0
2023-10-26,Thu,Conf Lg,Group stage,1,hu Ferencváros,Y*,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,1.0,1.0,2.0,0.1,0.1,0.0,2.0,0.0,27.0,33.0,81.8,6.0,17.0,0.0,2.0,0.0,15,3.0,D,0–0
2023-10-29,Sun,Pro League A,Regular season,0,Kortrijk,Y*,88.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,45.0,0.0,2.0,1.0,0.5,0.5,0.1,2.0,0.0,25.0,32.0,78.1,6.0,30.0,2.0,3.0,1.0,6,6.0,W,3–0
2023-11-04,Sat,Pro League A,Regular season,0,Antwerp,Y*,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,4.0,0.0,1.0,0.0,0.0,0.5,2.0,0.0,19.0,24.0,79.2,5.0,25.0,0.0,1.0,1.0,1,5.0,L,2–3
2023-11-09,Thu,Conf Lg,Group stage,0,hu Ferencváros,Y*,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,12.0,75.0,2.0,8.0,0.0,0.0,0.0,15,3.0,D,1–1
2023-11-12,Sun,Pro League A,Regular season,1,OH Leuven,Y*,90.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,72.0,2.0,1.0,0.0,1.9,1.0,0.0,1.0,1.0,45.0,56.0,80.4,9.0,48.0,2.0,2.0,1.0,8,6.0,W,3–1
2023-11-25,Sat,Pro League A,Regular season,0,Standard Liège,Y*,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,3.0,1.0,1.0,0.0,0.0,0.1,1.0,0.0,18.0,29.0,62.1,3.0,25.0,0.0,0.0,0.0,11,5.0,L,0–1
2023-11-30,Thu,Conf Lg,Group stage,0,it Fiorentina,Y*,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,1.0,0.0,0.0,0.3,2.0,0.0,18.0,28.0,64.3,4.0,25.0,0.0,0.0,0.0,16,3.0,L,1–2
