Date,Day,Comp,Round,Venue,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Opp_code,Day_code,Result_Type,Scores
2023-09-17,Sun,Ligue 1,Matchweek 5,1,Montpellier,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,6,D,2–2
2023-09-24,Sun,Ligue 1,Matchweek 6,0,Metz,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6,W,1–0
2023-09-29,Fri,Ligue 1,Matchweek 7,1,Lens,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,L,0–1
2023-10-06,Fri,Ligue 1,Matchweek 8,1,Nantes,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,L,1–2
2023-10-21,Sat,Ligue 1,Matchweek 9,0,Paris S-G,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,5,L,0–3
2023-10-29,Sun,Ligue 1,Matchweek 10,0,Rennes,N,5,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,0.0,0.0,22,6,D,1–1
2023-11-05,Sun,Ligue 1,Matchweek 11,1,Clermont Foot,N,12,0,0,0,0,0,0,0,0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,0.0,5.0,1.0,0.0,0.0,6,6,D,0–0
2023-11-25,Sat,Ligue 1,Matchweek 13,1,Marseille,N,8,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,0.0,4.0,1.0,0.0,0.0,13,5,D,1–1
2023-12-01,Fri,Ligue 1,Matchweek 14,0,Reims,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,L,1–2
2023-12-07,Thu,Ligue 1,Matchweek 12,0,Brest,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,D,1–1
2023-12-10,Sun,Ligue 1,Matchweek 15,1,Le Havre,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,W,2–1
2023-12-17,Sun,Ligue 1,Matchweek 16,0,Lorient,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,W,2–1
2023-12-20,Wed,Ligue 1,Matchweek 17,1,Lille,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,W,2–1
2024-01-06,Sat,Coupe de France,Round of 64,0,Avoine Olympique CC,Y,90,0,0,0,0,0,0,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,W,4–0
2024-01-12,Fri,Ligue 1,Matchweek 18,0,Marseille,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4,D,1–1
2024-01-28,Sun,Pro League A,Regular season,0,Sint-Truiden,N,2,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,0.0,0.0,23,6,D,1–1
2024-01-31,Wed,Pro League A,Regular season,0,OH Leuven,Y,90,0,0,0,0,1,0,0,0,71.0,2.0,0,1.0,0.0,0.0,0.1,3.0,0.0,45.0,59.0,76.3,6.0,40.0,0.0,1.0,1.0,18,2,L,1–2
2024-02-03,Sat,Pro League A,Regular season,1,Union SG,Y,85,0,0,0,0,0,0,0,0,68.0,0.0,4,2.0,0.0,0.0,0.0,1.0,0.0,39.0,53.0,73.6,3.0,28.0,2.0,1.0,0.0,25,5,L,0–1
2024-02-11,Sun,Pro League A,Regular season,0,Mechelen,Y,90,0,0,0,0,1,0,0,0,64.0,3.0,4,1.0,0.0,0.0,0.1,2.0,0.0,42.0,51.0,82.4,7.0,29.0,1.0,0.0,0.0,14,6,D,1–1
2024-02-17,Sat,Pro League A,Regular season,1,RWD Molenbeek,Y,45,0,0,0,0,0,0,0,0,31.0,2.0,1,1.0,0.0,0.0,0.1,2.0,0.0,18.0,22.0,81.8,1.0,15.0,0.0,1.0,1.0,20,5,W,3–1
2024-02-23,Fri,Pro League A,Regular season,0,Charleroi,N,8,0,0,0,0,0,0,0,0,8.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,0.0,3.0,0.0,0.0,0.0,5,4,W,1–0
2024-03-03,Sun,Pro League A,Regular season,1,Club Brugge,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,L,0–3
2024-03-10,Sun,Pro League A,Regular season,1,Standard Liège,N,1,0,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,24,6,W,1–0
2024-03-17,Sun,Pro League A,Regular season,0,Westerlo,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,6,D,1–1
2024-04-01,Mon,Pro League A,Champions play-offs,1,Union SG,N,27,0,0,0,0,0,0,0,0,7.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,5.0,0.0,0.0,0.0,25,0,W,1–0
2024-04-06,Sat,Pro League A,Champions play-offs,0,Antwerp,N,5,0,0,0,0,0,0,0,0,5.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,0.0,0.0,1,5,W,1–0
2024-04-13,Sat,Pro League A,Champions play-offs,1,Cercle Brugge,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,D,1–1
2024-04-20,Sat,Pro League A,Champions play-offs,1,Anderlecht,N,1,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0,5,W,2–1
2024-04-24,Wed,Pro League A,Champions play-offs,0,Club Brugge,N,30,0,0,0,0,0,0,0,0,13.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,9.0,66.7,1.0,10.0,2.0,0.0,0.0,7,2,L,0–4
2024-04-28,Sun,Pro League A,Champions play-offs,1,Club Brugge,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,L,0–3
2024-05-04,Sat,Pro League A,Champions play-offs,0,Cercle Brugge,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,L,1–4
2024-05-11,Sat,Pro League A,Champions play-offs,0,Anderlecht,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,L,1–2
2024-05-20,Mon,Pro League A,Champions play-offs,1,Antwerp,N,6,0,0,0,0,0,0,0,0,11.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,88.9,2.0,9.0,0.0,0.0,0.0,1,0,W,1–0
2024-05-26,Sun,Pro League A,Champions play-offs,0,Union SG,N,19,0,0,0,0,0,0,0,0,11.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,88.9,0.0,8.0,0.0,0.0,0.0,25,6,L,0–2
2024-06-02,Sun,Pro League A,European competition play-off,1,Gent,N,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6,L,0–1
