Date,Day,Comp,Round,Venue,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Opp_code,Day_code,Result_Type,Scores
2023-07-02,Sun,Gold Cup,Group stage,2,qa Qatar,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,6.0,L,0–1
2023-07-08,Sat,Gold Cup,Quarter-finals,2,cr Costa Rica,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5.0,W,2–0
2023-07-12,Wed,Gold Cup,Semi-finals,2,jm Jamaica,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,2.0,W,3–0
2023-07-16,Sun,Gold Cup,Final,2,pa Panama,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,6.0,W,1–0
2023-07-25,Tue,Champions Lg,Second qualifying round,0,ch Servette FC,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,D,1–1
2023-07-29,Sat,Pro League A,Regular season,0,RWD Molenbeek,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,1.0,4.0,1.0,0.1,0.1,0.0,5.0,0.0,55.0,68.0,80.9,10.0,62.0,2.0,4.0,4.0,16,5.0,W,4–0
2023-08-02,Wed,Champions Lg,Second qualifying round,1,ch Servette FC,N,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2.0,D,2
2023-08-05,Sat,Pro League A,Regular season,1,Eupen,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,113.0,1.0,1.0,0.0,0.3,0.3,0.0,4.0,0.0,89.0,103.0,86.4,13.0,82.0,2.0,1.0,0.0,7,5.0,L,0–1
2023-08-10,Thu,Europa Lg,Third qualifying round,0,gr Olympiacos,N,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,3.0,L,0–1
2023-08-13,Sun,Pro League A,Regular season,0,Cercle Brugge,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6.0,W,1–0
