Date,Day,Comp,Round,Venue,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Opp_code,Day_code,Result_Type,Scores
2023-07-25,Tue,Champions Lg,Second qualifying round,0,ch Servette FC,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1.0,D,1–1
2023-07-29,Sat,Pro League A,Regular season,0,RWD Molenbeek,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5.0,W,4–0
2023-08-02,Wed,Champions Lg,Second qualifying round,1,ch Servette FC,Y,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2.0,D,2
2023-08-10,Thu,Europa Lg,Third qualifying round,0,gr Olympiacos,Y,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3.0,L,0–1
2023-08-13,Sun,Pro League A,Regular season,0,Cercle Brugge,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,72.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,42.0,63.0,66.7,2.0,45.0,1.0,2.0,1.0,2,6.0,W,1–0
2023-08-17,Thu,Europa Lg,Third qualifying round,1,gr Olympiacos,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3.0,D,1–1
2023-08-20,Sun,Pro League A,Regular season,1,Charleroi,Y,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.0,2.0,1.0,2.0,0.1,0.1,0.0,1.0,0.0,48.0,66.0,72.7,9.0,53.0,7.0,2.0,1.0,3,6.0,D,0–0
2023-08-24,Thu,Conf Lg,Play-off round,1,tr Adana Demirspor,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3.0,W,2–1
2023-08-31,Thu,Conf Lg,Play-off round,0,tr Adana Demirspor,Y,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3.0,L,0
2023-09-03,Sun,Pro League A,Regular season,1,Anderlecht,N,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,1.0,4.0,0.0,1.0,0.0,0,6.0,D,1–1
2023-09-09,Sat,Africa Cup of Nations qualification,Group stage,1,sd Sudan,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5.0,W,2–0
2023-09-16,Sat,Pro League A,Regular season,0,Union SG,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,48.0,66.7,4.0,39.0,1.0,2.0,0.0,12,5.0,W,2–0
2023-09-21,Thu,Conf Lg,Group stage,1,it Fiorentina,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3.0,D,2–2
2023-09-24,Sun,Pro League A,Regular season,1,Sint-Truiden,N,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,23.0,31.0,74.2,6.0,23.0,4.0,0.0,0.0,10,6.0,D,3–3
2023-09-28,Thu,Pro League A,Regular season,0,Club Brugge,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.0,D,1–1
2023-10-01,Sun,Pro League A,Regular season,1,Westerlo,Y,90.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,47.0,1.0,1.0,5.0,0.2,0.2,0.2,2.0,1.0,31.0,39.0,79.5,6.0,31.0,2.0,1.0,0.0,13,6.0,D,3–3
2023-10-05,Thu,Conf Lg,Group stage,0,rs Čukarički,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,1.0,0.0,0.0,0.2,5.0,0.0,51.0,62.0,82.3,4.0,24.0,1.0,0.0,0.0,23,3.0,W,2–0
