Date,Day,Comp,Round,Venue,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Opp_code,Day_code,Result_Type,Scores
2023-12-16,Sat,Pro League A,Regular season,0,Standard Liège,N,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,10.0,60.0,2.0,13.0,1.0,1.0,0.0,10,5.0,D,0–0
2023-12-23,Sat,Pro League A,Regular season,0,Sint-Truiden,N,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,58.3,0.0,9.0,1.0,0.0,0.0,9,5.0,L,0–1
2024-01-21,Sun,Pro League A,Regular season,0,Antwerp,N,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,28.0,71.4,0.0,27.0,1.0,1.0,0.0,1,6.0,L,1–4
2024-01-27,Sat,Pro League A,Regular season,1,Club Brugge,Y,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,3.0,0.0,1.0,0.0,0.0,0.1,4.0,0.0,21.0,26.0,80.8,1.0,26.0,3.0,7.0,2.0,4,5.0,L,1–4
2024-01-31,Wed,Pro League A,Regular season,0,OH Leuven,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,6.0,7.0,85.7,0.0,4.0,0.0,0.0,0.0,7,2.0,L,1–2
2024-02-03,Sat,Pro League A,Regular season,1,Union SG,N,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,0.1,0.1,0.1,2.0,0.0,14.0,15.0,93.3,0.0,6.0,0.0,1.0,1.0,11,5.0,L,0–1
2024-02-11,Sun,Pro League A,Regular season,0,Mechelen,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6.0,D,1–1
2024-02-17,Sat,Pro League A,Regular season,1,RWD Molenbeek,N,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,1.0,4.0,25.0,0.0,4.0,0.0,2.0,0.0,8,5.0,W,3–1
2024-02-23,Fri,Pro League A,Regular season,0,Charleroi,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.0,W,1–0
2024-03-03,Sun,Pro League A,Regular season,1,Club Brugge,N,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,36.4,1.0,3.0,0.0,1.0,1.0,4,6.0,L,0–3
2024-03-10,Sun,Pro League A,Regular season,1,Standard Liège,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,6.0,W,1–0
2024-04-24,Wed,Pro League A,Champions play-offs,0,Club Brugge,N,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,1.0,0.0,0.0,0.0,0.1,1.0,0.0,10.0,12.0,83.3,1.0,12.0,0.0,1.0,0.0,4,2.0,L,0–4
2024-04-28,Sun,Pro League A,Champions play-offs,1,Club Brugge,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6.0,L,0–3
2024-05-04,Sat,Pro League A,Champions play-offs,0,Cercle Brugge,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.0,L,1–4
2024-05-11,Sat,Pro League A,Champions play-offs,0,Anderlecht,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,L,1–2
2024-05-20,Mon,Pro League A,Champions play-offs,1,Antwerp,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,W,1–0
2024-05-26,Sun,Pro League A,Champions play-offs,0,Union SG,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6.0,L,0–2
2024-06-02,Sun,Pro League A,European competition play-off,1,Gent,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6.0,L,0–1
