Date,Day,Comp,Round,Venue,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Opp_code,Day_code,Result_Type,Scores
2023-07-25,Tue,Champions Lg,Second qualifying round,0,ch Servette FC,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1.0,D,1–1
2023-08-02,Wed,Champions Lg,Second qualifying round,1,ch Servette FC,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2.0,D,2
2023-08-05,Sat,Pro League A,Regular season,1,Eupen,N,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,9.0,66.7,0.0,10.0,1.0,0.0,0.0,5,5.0,L,0–1
2023-08-10,Thu,Europa Lg,Third qualifying round,0,gr Olympiacos,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3.0,L,0–1
2023-08-13,Sun,Pro League A,Regular season,0,Cercle Brugge,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,W,1–0
2023-08-17,Thu,Europa Lg,Third qualifying round,1,gr Olympiacos,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3.0,D,1–1
2023-08-20,Sun,Pro League A,Regular season,1,Charleroi,N,32.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,25.0,1.0,0.0,1.0,0.5,0.5,0.0,2.0,0.0,7.0,16.0,43.8,3.0,15.0,2.0,1.0,0.0,3,6.0,D,0–0
2023-08-24,Thu,Conf Lg,Play-off round,1,tr Adana Demirspor,Y,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3.0,W,2–1
2023-08-31,Thu,Conf Lg,Play-off round,0,tr Adana Demirspor,Y,113.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3.0,L,0
2023-09-03,Sun,Pro League A,Regular season,1,Anderlecht,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,19.0,26.0,73.1,4.0,22.0,1.0,3.0,2.0,0,6.0,D,1–1
2023-09-16,Sat,Pro League A,Regular season,0,Union SG,Y,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,66.7,0.0,10.0,1.0,1.0,1.0,12,5.0,W,2–0
2023-09-21,Thu,Conf Lg,Group stage,1,it Fiorentina,Y,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,84.6,2.0,15.0,0.0,2.0,0.0,17,3.0,D,2–2
2023-09-24,Sun,Pro League A,Regular season,1,Sint-Truiden,Y,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,1.0,12.0,0.0,3.0,1.0,10,6.0,D,3–3
2023-10-01,Sun,Pro League A,Regular season,1,Westerlo,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6.0,D,3–3
2023-10-05,Thu,Conf Lg,Group stage,0,rs Čukarički,N,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.1,0.1,0.2,1.0,0.0,4.0,4.0,100.0,1.0,4.0,1.0,0.0,0.0,18,3.0,W,2–0
2023-10-22,Sun,Pro League A,Regular season,1,Mechelen,N,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,3.0,5.0,60.0,0.0,5.0,2.0,1.0,1.0,7,6.0,W,4–0
2023-10-26,Thu,Conf Lg,Group stage,1,hu Ferencváros,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3.0,D,0–0
2023-11-04,Sat,Pro League A,Regular season,0,Antwerp,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,L,2–3
2023-11-09,Thu,Conf Lg,Group stage,0,hu Ferencváros,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3.0,D,1–1
2023-11-25,Sat,Pro League A,Regular season,0,Standard Liège,N,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,0.0,0.0,0.0,11,5.0,L,0–1
2023-11-30,Thu,Conf Lg,Group stage,0,it Fiorentina,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3.0,L,1–2
2023-12-14,Thu,Conf Lg,Group stage,1,rs Čukarički,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3.0,W,2–0
2023-12-17,Sun,Pro League A,Regular season,1,Kortrijk,N,14.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.2,0.2,0.1,1.0,0.0,5.0,6.0,83.3,0.0,8.0,1.0,2.0,1.0,6,6.0,W,4–0
2023-12-26,Tue,Pro League A,Regular season,1,Antwerp,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,W,3–0
2024-01-20,Sat,Pro League A,Regular season,1,Cercle Brugge,Y,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,2.0,0.0,0.0,0.0,0.2,2.0,1.0,12.0,16.0,75.0,2.0,19.0,4.0,5.0,2.0,2,5.0,D,1–1
2024-01-28,Sun,Pro League A,Regular season,0,Sint-Truiden,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,6.0,D,1–1
2024-01-31,Wed,Pro League A,Regular season,0,OH Leuven,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2.0,L,1–2
2024-02-03,Sat,Pro League A,Regular season,1,Union SG,N,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,1.0,0.0,12,5.0,L,0–1
2024-02-11,Sun,Pro League A,Regular season,0,Mechelen,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6.0,D,1–1
2024-02-17,Sat,Pro League A,Regular season,1,RWD Molenbeek,Y,89.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,41.0,2.0,1.0,0.0,0.7,0.7,0.0,4.0,0.0,21.0,29.0,72.4,4.0,36.0,6.0,3.0,1.0,9,5.0,W,3–1
2024-02-23,Fri,Pro League A,Regular season,0,Charleroi,Y,69.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,39.0,0.0,0.0,3.0,0.2,0.2,0.0,2.0,0.0,20.0,22.0,90.9,6.0,29.0,2.0,5.0,2.0,3,4.0,W,1–0
2024-03-03,Sun,Pro League A,Regular season,1,Club Brugge,Y,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,16.0,19.0,84.2,2.0,24.0,3.0,7.0,4.0,4,6.0,L,0–3
2024-03-10,Sun,Pro League A,Regular season,1,Standard Liège,Y,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,9.0,1.0,0.0,0.0,11,6.0,W,1–0
