Date,Day,Comp,Round,Venue,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Opp_code,Day_code,Result_Type,Scores
2023-07-25,Tue,Champions Lg,Second qualifying round,0,ch Servette FC,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1.0,D,1–1
2023-08-02,Wed,Champions Lg,Second qualifying round,1,ch Servette FC,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.0,D,2
2023-08-05,Sat,Pro League A,Regular season,1,Eupen,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,102.0,106.0,96.2,18.0,95.0,0.0,2.0,1.0,5,5.0,L,0–1
2023-08-10,Thu,Europa Lg,Third qualifying round,0,gr Olympiacos,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3.0,L,0–1
2023-08-13,Sun,Pro League A,Regular season,0,Cercle Brugge,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,32.0,71.9,1.0,19.0,0.0,0.0,0.0,2,6.0,W,1–0
2023-08-17,Thu,Europa Lg,Third qualifying round,1,gr Olympiacos,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3.0,D,1–1
2023-08-20,Sun,Pro League A,Regular season,1,Charleroi,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,60.0,62.0,96.8,5.0,59.0,1.0,0.0,0.0,3,6.0,D,0–0
2023-08-24,Thu,Conf Lg,Play-off round,1,tr Adana Demirspor,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3.0,W,2–1
2023-08-31,Thu,Conf Lg,Play-off round,0,tr Adana Demirspor,Y,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3.0,L,0
2023-09-16,Sat,Pro League A,Regular season,0,Union SG,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,37.0,94.6,2.0,34.0,0.0,0.0,0.0,13,5.0,W,2–0
2023-09-21,Thu,Conf Lg,Group stage,1,it Fiorentina,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,61.0,93.4,2.0,60.0,0.0,0.0,0.0,18,3.0,D,2–2
2023-09-24,Sun,Pro League A,Regular season,1,Sint-Truiden,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,53.0,59.0,89.8,5.0,51.0,1.0,0.0,0.0,11,6.0,D,3–3
2023-09-28,Thu,Pro League A,Regular season,0,Club Brugge,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,30.0,90.0,0.0,26.0,0.0,0.0,0.0,4,3.0,D,1–1
2023-10-01,Sun,Pro League A,Regular season,1,Westerlo,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,90.9,2.0,22.0,0.0,1.0,1.0,14,6.0,D,3–3
2023-10-05,Thu,Conf Lg,Group stage,0,rs Čukarički,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3.0,W,2–0
2023-10-08,Sun,Pro League A,Regular season,0,Gent,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,2.0,4.0,2.0,0.1,0.1,0.0,0.0,0.0,11.0,15.0,73.3,1.0,7.0,0.0,0.0,0.0,6,6.0,D,1–1
2023-10-22,Sun,Pro League A,Regular season,1,Mechelen,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,4.0,3.0,2.0,0.1,0.1,0.0,0.0,0.0,71.0,72.0,98.6,3.0,66.0,0.0,0.0,0.0,8,6.0,W,4–0
2023-10-26,Thu,Conf Lg,Group stage,1,hu Ferencváros,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3.0,D,0–0
2023-10-29,Sun,Pro League A,Regular season,0,Kortrijk,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,67.0,74.0,90.5,7.0,64.0,2.0,0.0,0.0,7,6.0,W,3–0
2023-11-09,Thu,Conf Lg,Group stage,0,hu Ferencváros,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,49.0,93.9,2.0,36.0,1.0,0.0,0.0,17,3.0,D,1–1
2023-11-12,Sun,Pro League A,Regular season,1,OH Leuven,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,2.0,2.0,0.0,0.2,0.2,0.0,1.0,0.0,55.0,60.0,91.7,8.0,51.0,2.0,1.0,0.0,9,6.0,W,3–1
2023-11-30,Thu,Conf Lg,Group stage,0,it Fiorentina,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,34.0,38.0,89.5,0.0,33.0,0.0,0.0,0.0,18,3.0,L,1–2
2023-12-03,Sun,Pro League A,Regular season,1,Gent,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,90.5,3.0,18.0,0.0,0.0,0.0,6,6.0,D,2–2
2023-12-10,Sun,Pro League A,Regular season,0,Eupen,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,47.0,51.0,92.2,3.0,46.0,0.0,0.0,0.0,5,6.0,W,3–1
2023-12-14,Thu,Conf Lg,Group stage,1,rs Čukarički,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,43.0,95.3,2.0,20.0,0.0,1.0,1.0,19,3.0,W,2–0
