Date,Day,Comp,Round,Venue,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Opp_code,Day_code,Result_Type,Scores
2023-07-25,Tue,Champions Lg,Second qualifying round,0,ch Servette FC,Y,84.0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,D,1–1
2023-07-29,Sat,Pro League A,Regular season,0,RWD Molenbeek,N,29.0,0,0,0,0,1.0,0.0,0,0,34.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,29.0,31.0,93.5,2.0,30.0,0.0,0.0,0.0,10,5,W,4–0
2023-08-02,Wed,Champions Lg,Second qualifying round,1,ch Servette FC,Y,120.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2,D,2
2023-08-05,Sat,Pro League A,Regular season,1,Eupen,Y*,75.0,0,0,0,0,2.0,0.0,0,0,50.0,0.0,1.0,1.0,0.1,0.1,0.1,5.0,0.0,37.0,43.0,86.0,4.0,39.0,1.0,2.0,1.0,5,5,L,0–1
2023-08-10,Thu,Europa Lg,Third qualifying round,0,gr Olympiacos,Y,90.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,L,0–1
2023-08-13,Sun,Pro League A,Regular season,0,Cercle Brugge,Y,90.0,0,0,0,0,2.0,0.0,0,0,46.0,0.0,1.0,1.0,0.1,0.1,0.0,3.0,0.0,20.0,35.0,57.1,5.0,34.0,0.0,1.0,0.0,2,6,W,1–0
2023-08-17,Thu,Europa Lg,Third qualifying round,1,gr Olympiacos,Y,89.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,D,1–1
2023-08-20,Sun,Pro League A,Regular season,1,Charleroi,N,32.0,0,0,0,0,1.0,0.0,0,0,23.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,19.0,73.7,3.0,16.0,0.0,1.0,0.0,3,6,D,0–0
2023-08-24,Thu,Conf Lg,Play-off round,1,tr Adana Demirspor,Y*,90.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,W,2–1
2023-08-31,Thu,Conf Lg,Play-off round,0,tr Adana Demirspor,Y*,67.0,0,0,0,0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,L,0
2023-09-03,Sun,Pro League A,Regular season,1,Anderlecht,N,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,D,1–1
2023-09-08,Fri,UEFA Euro Qualifying,Group stage,1,pt Portugal,N,8.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4,L,0–1
2023-09-11,Mon,UEFA Euro Qualifying,Group stage,1,li Liechtenstein,N,14.0,0,0,0,0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,W,3–0
2023-09-16,Sat,Pro League A,Regular season,0,Union SG,N,45.0,0,0,0,0,0.0,0.0,0,0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,76.9,1.0,7.0,0.0,0.0,0.0,13,5,W,2–0
2023-09-21,Thu,Conf Lg,Group stage,1,it Fiorentina,N,3.0,0,0,0,0,1.0,0.0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,1.0,5.0,2.0,2.0,2.0,22,3,D,2–2
2023-09-24,Sun,Pro League A,Regular season,1,Sint-Truiden,N,45.0,0,2,0,0,1.0,0.0,0,0,43.0,4.0,1.0,0.0,0.0,0.0,0.4,6.0,3.0,33.0,36.0,91.7,6.0,31.0,1.0,0.0,0.0,11,6,D,3–3
2023-09-28,Thu,Pro League A,Regular season,0,Club Brugge,Y,90.0,0,0,0,0,0.0,0.0,1,0,54.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,33.0,41.0,80.5,6.0,38.0,0.0,2.0,1.0,4,3,D,1–1
2023-10-01,Sun,Pro League A,Regular season,1,Westerlo,Y*,80.0,0,0,0,0,2.0,0.0,0,0,36.0,0.0,0.0,1.0,0.1,0.1,0.0,2.0,1.0,23.0,31.0,74.2,5.0,28.0,0.0,1.0,1.0,14,6,D,3–3
2023-10-05,Thu,Conf Lg,Group stage,0,rs Čukarički,Y,90.0,0,0,0,0,0.0,0.0,0,0,65.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,56.0,59.0,94.9,4.0,17.0,0.0,0.0,0.0,28,3,W,2–0
2023-10-08,Sun,Pro League A,Regular season,0,Gent,N,15.0,0,0,0,0,0.0,0.0,0,0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,1.0,10.0,0.0,1.0,0.0,6,6,D,1–1
2023-10-13,Fri,UEFA Euro Qualifying,Group stage,0,pt Portugal,N,0.0,0,0,0,0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4,L,2–3
2023-10-16,Mon,UEFA Euro Qualifying,Group stage,0,lu Luxembourg,N,3.0,0,0,0,0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,W,1–0
2023-10-22,Sun,Pro League A,Regular season,1,Mechelen,Y,90.0,0,0,0,0,1.0,0.0,0,0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,46.0,87.0,4.0,42.0,1.0,1.0,1.0,8,6,W,4–0
2023-10-26,Thu,Conf Lg,Group stage,1,hu Ferencváros,N,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3,D,0–0
2023-10-29,Sun,Pro League A,Regular season,0,Kortrijk,Y,88.0,0,1,0,0,2.0,1.0,0,0,62.0,0.0,1.0,1.0,0.2,0.2,0.2,4.0,1.0,43.0,54.0,79.6,8.0,45.0,1.0,2.0,1.0,7,6,W,3–0
2023-11-04,Sat,Pro League A,Regular season,0,Antwerp,Y,89.0,0,0,0,0,0.0,0.0,1,0,54.0,2.0,0.0,1.0,0.0,0.0,0.2,1.0,0.0,35.0,46.0,76.1,6.0,40.0,0.0,2.0,1.0,1,5,L,2–3
2023-11-09,Thu,Conf Lg,Group stage,0,hu Ferencváros,Y,90.0,0,0,0,0,0.0,0.0,0,0,48.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,32.0,37.0,86.5,3.0,21.0,1.0,0.0,0.0,21,3,D,1–1
2023-11-12,Sun,Pro League A,Regular season,1,OH Leuven,N,1.0,0,0,0,0,0.0,0.0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,3.0,3.0,100.0,1.0,3.0,0.0,0.0,0.0,9,6,W,3–1
2023-11-19,Sun,UEFA Euro Qualifying,Group stage,0,ba Bosnia & Herz'na,Y,90.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,6,W,2–1
2023-11-25,Sat,Pro League A,Regular season,0,Standard Liège,N,19.0,0,0,0,0,1.0,0.0,0,0,15.0,0.0,0.0,0.0,0.2,0.2,0.0,3.0,0.0,6.0,14.0,42.9,0.0,9.0,0.0,0.0,0.0,12,5,L,0–1
2023-11-30,Thu,Conf Lg,Group stage,0,it Fiorentina,Y,77.0,0,0,0,0,0.0,0.0,1,0,38.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,33.0,66.7,3.0,20.0,1.0,1.0,0.0,22,3,L,1–2
2023-12-03,Sun,Pro League A,Regular season,1,Gent,Y,90.0,0,0,0,0,1.0,0.0,0,0,61.0,2.0,1.0,0.0,0.1,0.1,0.0,3.0,0.0,35.0,50.0,70.0,2.0,43.0,1.0,2.0,2.0,6,6,D,2–2
2023-12-10,Sun,Pro League A,Regular season,0,Eupen,Y,90.0,0,0,0,0,1.0,0.0,0,0,41.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,35.0,74.3,1.0,24.0,0.0,1.0,0.0,5,6,W,3–1
2023-12-14,Thu,Conf Lg,Group stage,1,rs Čukarički,N,53.0,0,0,0,0,0.0,0.0,0,0,50.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,39.0,44.0,88.6,6.0,21.0,1.0,2.0,1.0,28,3,W,2–0
2023-12-17,Sun,Pro League A,Regular season,1,Kortrijk,Y,90.0,0,1,0,0,2.0,1.0,0,0,70.0,0.0,1.0,3.0,0.2,0.2,0.3,3.0,1.0,53.0,60.0,88.3,9.0,55.0,1.0,1.0,0.0,7,6,W,4–0
2023-12-23,Sat,Pro League A,Regular season,0,Anderlecht,Y,90.0,0,0,0,0,0.0,0.0,0,0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,58.0,86.2,5.0,46.0,0.0,3.0,1.0,0,5,L,1–2
2023-12-26,Tue,Pro League A,Regular season,1,Antwerp,Y,90.0,0,0,0,0,3.0,1.0,0,0,63.0,2.0,2.0,1.0,0.1,0.1,0.0,1.0,0.0,44.0,51.0,86.3,7.0,45.0,0.0,1.0,1.0,1,1,W,3–0
2024-01-20,Sat,Pro League A,Regular season,1,Cercle Brugge,Y,90.0,0,0,0,0,0.0,0.0,0,0,53.0,1.0,1.0,3.0,0.0,0.0,0.2,6.0,0.0,33.0,45.0,73.3,6.0,30.0,2.0,0.0,0.0,2,5,D,1–1
2024-01-28,Sun,Pro League A,Regular season,0,Sint-Truiden,Y,90.0,0,0,0,0,1.0,0.0,0,0,51.0,0.0,0.0,1.0,0.1,0.1,0.0,3.0,0.0,30.0,43.0,69.8,2.0,11.0,0.0,0.0,0.0,11,6,D,1–1
2024-01-31,Wed,Pro League A,Regular season,0,OH Leuven,Y,90.0,0,0,0,0,0.0,0.0,1,0,53.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,43.0,48.0,89.6,5.0,37.0,1.0,1.0,1.0,9,2,L,1–2
2024-02-03,Sat,Pro League A,Regular season,1,Union SG,Y,90.0,0,0,0,0,0.0,0.0,1,0,57.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,47.0,68.1,1.0,28.0,0.0,0.0,0.0,13,5,L,0–1
2024-02-11,Sun,Pro League A,Regular season,0,Mechelen,Y,90.0,0,0,0,0,0.0,0.0,0,0,44.0,1.0,1.0,1.0,0.0,0.0,0.1,3.0,0.0,31.0,40.0,77.5,5.0,34.0,0.0,3.0,1.0,8,6,D,1–1
2024-02-17,Sat,Pro League A,Regular season,1,RWD Molenbeek,Y,90.0,0,0,0,0,0.0,0.0,0,0,52.0,2.0,1.0,2.0,0.0,0.0,0.1,3.0,1.0,35.0,39.0,89.7,5.0,33.0,0.0,1.0,1.0,10,5,W,3–1
2024-02-23,Fri,Pro League A,Regular season,0,Charleroi,Y,90.0,0,0,0,0,3.0,1.0,0,0,54.0,1.0,0.0,3.0,0.4,0.4,0.0,3.0,0.0,31.0,43.0,72.1,8.0,34.0,2.0,1.0,1.0,3,4,W,1–0
2024-03-03,Sun,Pro League A,Regular season,1,Club Brugge,Y,90.0,0,0,0,0,0.0,0.0,0,0,49.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,36.0,43.0,83.7,6.0,36.0,0.0,3.0,2.0,4,6,L,0–3
2024-03-10,Sun,Pro League A,Regular season,1,Standard Liège,Y,90.0,0,0,0,0,2.0,0.0,0,0,55.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,44.0,50.0,88.0,5.0,38.0,0.0,0.0,0.0,12,6,W,1–0
2024-03-17,Sun,Pro League A,Regular season,0,Westerlo,Y,81.0,0,0,0,0,0.0,0.0,0,0,54.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,41.0,82.9,3.0,37.0,1.0,2.0,1.0,14,6,D,1–1
2024-03-23,Sat,Friendlies (M),Friendlies (M),1,at Austria,N,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,L,0–2
2024-03-26,Tue,Friendlies (M),Friendlies (M),0,no Norway,Y,55.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1,D,1–1
2024-04-01,Mon,Pro League A,Champions play-offs,1,Union SG,Y,90.0,0,1,0,0,1.0,0.0,0,0,46.0,3.0,1.0,1.0,0.1,0.1,0.3,1.0,1.0,26.0,35.0,74.3,4.0,32.0,1.0,2.0,1.0,13,0,W,1–0
2024-04-06,Sat,Pro League A,Champions play-offs,0,Antwerp,Y,90.0,0,0,0,0,1.0,0.0,0,0,39.0,2.0,1.0,0.0,0.0,0.0,0.1,2.0,1.0,29.0,32.0,90.6,4.0,34.0,2.0,0.0,0.0,1,5,W,1–0
2024-04-13,Sat,Pro League A,Champions play-offs,1,Cercle Brugge,Y,90.0,0,0,0,0,1.0,0.0,0,0,48.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,33.0,69.7,2.0,35.0,2.0,7.0,1.0,2,5,D,1–1
2024-04-20,Sat,Pro League A,Champions play-offs,1,Anderlecht,Y,90.0,0,0,0,0,2.0,2.0,0,0,59.0,0.0,0.0,2.0,0.1,0.1,0.2,3.0,0.0,42.0,50.0,84.0,7.0,47.0,2.0,2.0,2.0,0,5,W,2–1
2024-04-24,Wed,Pro League A,Champions play-offs,0,Club Brugge,Y,90.0,0,0,0,0,1.0,0.0,0,0,56.0,1.0,2.0,1.0,0.1,0.1,0.0,1.0,0.0,42.0,50.0,84.0,5.0,43.0,1.0,1.0,0.0,4,2,L,0–4
2024-04-28,Sun,Pro League A,Champions play-offs,1,Club Brugge,Y,75.0,0,0,0,0,2.0,0.0,0,0,48.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,41.0,44.0,93.2,4.0,39.0,1.0,0.0,0.0,4,6,L,0–3
2024-05-04,Sat,Pro League A,Champions play-offs,0,Cercle Brugge,Y,78.0,0,0,0,0,1.0,0.0,0,0,54.0,1.0,1.0,1.0,0.1,0.1,0.0,0.0,0.0,29.0,41.0,70.7,5.0,39.0,0.0,2.0,0.0,2,5,L,1–4
2024-05-11,Sat,Pro League A,Champions play-offs,0,Anderlecht,Y,85.0,0,0,0,0,2.0,0.0,0,0,60.0,1.0,0.0,1.0,0.1,0.1,0.2,3.0,0.0,48.0,53.0,90.6,4.0,51.0,1.0,1.0,1.0,0,5,L,1–2
2024-05-20,Mon,Pro League A,Champions play-offs,1,Antwerp,Y,90.0,0,0,0,0,0.0,0.0,0,0,55.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,46.0,82.6,1.0,41.0,1.0,1.0,0.0,1,0,W,1–0
2024-05-26,Sun,Pro League A,Champions play-offs,0,Union SG,Y,80.0,0,0,0,0,1.0,0.0,0,0,35.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,24.0,30.0,80.0,1.0,26.0,0.0,0.0,0.0,13,6,L,0–2
2024-06-02,Sun,Pro League A,European competition play-off,1,Gent,Y,90.0,0,0,0,0,0.0,0.0,0,0,47.0,0.0,0.0,2.0,0.0,0.0,0.1,5.0,0.0,29.0,37.0,78.4,5.0,33.0,1.0,0.0,0.0,6,6,L,0–1
2024-06-05,Wed,Friendlies (M),Friendlies (M),2,sm San Marino,Y,90.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,2,W,4–0
2024-06-09,Sun,Friendlies (M),Friendlies (M),1,wls Wales,N,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,6,W,4–0
2024-06-17,Mon,UEFA Euro,Group stage,2,be Belgium,N,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,W,1–0
2024-06-21,Fri,UEFA Euro,Group stage,2,ua Ukraine,N,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,4,L,1–2
