Date,Day,Comp,Round,Venue,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Opp_code,Day_code,Result_Type,Scores
2023-07-29,Sat,Pro League A,Regular season,1,Genk,Y,90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,44.0,6.0,0.0,2.0,0.1,0.1,0.2,3.0,0.0,21.0,26.0,80.8,1.0,26.0,2.0,5.0,3.0,5,5.0,L,0–4
2023-08-05,Sat,Pro League A,Regular season,0,OH Leuven,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,17.0,23.0,73.9,0.0,27.0,2.0,4.0,1.0,9,5.0,W,2–1
2023-08-12,Sat,Pro League A,Regular season,1,Mechelen,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,21.0,27.0,77.8,3.0,26.0,1.0,6.0,2.0,8,5.0,W,1–0
2023-08-20,Sun,Pro League A,Regular season,0,Club Brugge,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,4.0,3.0,3.0,0.0,0.0,0.1,2.0,0.0,38.0,44.0,86.4,3.0,39.0,3.0,2.0,0.0,4,6.0,L,1–7
2023-09-02,Sat,Pro League A,Regular season,0,Standard Liège,Y,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,31.0,83.9,4.0,30.0,1.0,4.0,1.0,12,5.0,D,1–1
2023-09-21,Thu,Conf Lg,Group stage,1,it Fiorentina,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3.0,D,2–2
2023-10-05,Thu,Conf Lg,Group stage,0,rs Čukarički,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3.0,W,2–0
2023-10-08,Sun,Pro League A,Regular season,0,Gent,Y,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,80.0,8.0,0.0,7.0,0.1,0.1,0.0,2.0,0.0,47.0,59.0,79.7,11.0,35.0,2.0,3.0,2.0,6,6.0,D,1–1
2023-10-22,Sun,Pro League A,Regular season,1,Mechelen,Y,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,71.0,3.0,3.0,0.0,0.1,0.1,0.0,5.0,0.0,56.0,63.0,88.9,4.0,52.0,4.0,2.0,2.0,8,6.0,W,4–0
2023-10-26,Thu,Conf Lg,Group stage,1,hu Ferencváros,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3.0,D,0–0
2023-10-29,Sun,Pro League A,Regular season,0,Kortrijk,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6.0,W,3–0
2023-11-09,Thu,Conf Lg,Group stage,0,hu Ferencváros,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3.0,D,1–1
2023-11-12,Sun,Pro League A,Regular season,1,OH Leuven,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6.0,W,3–1
2023-11-25,Sat,Pro League A,Regular season,0,Standard Liège,Y,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,3.0,1.0,0.0,0.1,0.1,0.0,1.0,0.0,57.0,63.0,90.5,5.0,52.0,0.0,0.0,0.0,12,5.0,L,0–1
2023-11-30,Thu,Conf Lg,Group stage,0,it Fiorentina,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3.0,L,1–2
2023-12-14,Thu,Conf Lg,Group stage,1,rs Čukarički,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,69.0,87.0,4.0,24.0,1.0,1.0,1.0,17,3.0,W,2–0
2023-12-17,Sun,Pro League A,Regular season,1,Kortrijk,N,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,0.0,1.0,2.0,0.1,0.1,0.0,2.0,0.0,26.0,28.0,92.9,7.0,28.0,1.0,0.0,0.0,7,6.0,W,4–0
2024-01-28,Sun,Pro League A,Regular season,0,Sint-Truiden,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,41.0,78.0,1.0,25.0,5.0,0.0,0.0,11,6.0,D,1–1
2024-01-31,Wed,Pro League A,Regular season,0,OH Leuven,Y,89.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,60.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,47.0,78.7,3.0,34.0,1.0,1.0,0.0,9,2.0,L,1–2
2024-02-03,Sat,Pro League A,Regular season,1,Union SG,Y,73.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,44.0,75.0,3.0,29.0,1.0,2.0,1.0,13,5.0,L,0–1
