,Date,Day,Comp,Round,Venue,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Opp_code,Day_code,Result_Type,Scores,Shooting_Accuracy,Opp_code_numeric
1,2023-07-29,Sat,Pro League A,Regular season,0,RWD Molenbeek,N,15,0,0,0,0,2,2,0,0,5,1,0,0,0.1,0.1,0.0,1,0,2,2,100.0,0,5,0,1,1,weak,5,W,4–0,100.0,1
2,2023-08-05,Sat,Pro League A,Regular season,1,Eupen,N,30,0,0,0,0,3,0,0,0,14,0,0,0,0.3,0.3,0.1,3,0,6,8,75.0,0,9,1,2,2,weak,5,L,0–1,0.0,1
3,2023-08-13,Sun,Pro League A,Regular season,0,Cercle Brugge,N,7,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,2,0,0,0,strong,6,W,1–0,0.0,3
4,2023-08-20,Sun,Pro League A,Regular season,1,Charleroi,Y,58,0,0,0,0,4,1,0,0,25,0,0,0,0.1,0.1,0.2,2,0,7,13,53.8,0,17,3,3,2,weak,6,D,0–0,25.0,1
5,2023-09-03,Sun,Pro League A,Regular season,1,Anderlecht,N,9,1,0,0,0,1,1,0,0,10,0,0,0,0.4,0.4,0.0,0,0,3,4,75.0,0,5,0,0,0,strong,6,D,1–1,100.0,3
6,2023-09-16,Sat,Pro League A,Regular season,0,Union SG,N,14,0,1,0,0,3,0,0,0,10,0,0,0,0.7,0.7,0.6,3,1,3,5,60.0,1,6,0,0,0,strong,5,W,2–0,0.0,3
7,2023-09-24,Sun,Pro League A,Regular season,1,Sint-Truiden,N,45,1,0,0,0,5,2,0,0,9,0,0,0,0.9,0.9,0.1,1,0,2,2,100.0,0,6,0,0,0,medium,6,D,3–3,40.0,2
8,2023-09-28,Thu,Pro League A,Regular season,0,Club Brugge,N,34,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,2,5,40.0,1,5,0,0,0,strong,3,D,1–1,0.0,3
9,2023-10-01,Sun,Pro League A,Regular season,1,Westerlo,Y,62,0,1,0,0,3,0,0,0,16,0,0,0,0.4,0.4,0.2,2,1,8,9,88.9,0,12,0,2,1,medium,6,D,3–3,0.0,2
10,2023-10-08,Sun,Pro League A,Regular season,0,Gent,N,23,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,7,1,1,1,weak,6,D,1–1,0.0,1
11,2023-10-22,Sun,Pro League A,Regular season,1,Mechelen,N,11,0,0,0,0,1,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,2,100.0,0,4,0,0,0,medium,6,W,4–0,0.0,2
12,2023-10-29,Sun,Pro League A,Regular season,0,Kortrijk,Y,75,1,0,0,0,2,2,0,0,31,0,2,1,0.4,0.4,0.0,1,0,11,18,61.1,1,19,1,1,1,weak,6,W,3–0,100.0,1
13,2023-11-04,Sat,Pro League A,Regular season,0,Antwerp,N,29,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,6,0,2,0,strong,5,L,2–3,0.0,3
14,2023-11-12,Sun,Pro League A,Regular season,1,OH Leuven,Y,89,0,0,0,0,5,0,0,0,31,0,0,0,0.5,0.5,0.0,1,1,16,18,88.9,1,26,1,4,1,weak,6,W,3–1,0.0,1
15,2023-11-25,Sat,Pro League A,Regular season,0,Standard Liège,N,29,0,0,0,0,1,0,0,0,6,0,0,0,0.4,0.4,0.0,0,0,2,3,66.7,1,4,0,0,0,medium,5,L,0–1,0.0,2
16,2023-12-03,Sun,Pro League A,Regular season,1,Gent,N,15,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,1,4,25.0,0,5,0,0,0,weak,6,D,2–2,0.0,1
17,2023-12-10,Sun,Pro League A,Regular season,0,Eupen,N,10,1,0,0,0,1,1,0,0,7,0,0,0,0.3,0.3,0.0,0,0,1,1,100.0,0,1,1,0,0,weak,6,W,3–1,100.0,1
18,2023-12-17,Sun,Pro League A,Regular season,1,Kortrijk,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,weak,6,W,4–0,0.0,1
19,2023-12-23,Sat,Pro League A,Regular season,0,Anderlecht,N,23,0,0,0,0,1,1,0,0,12,0,0,0,0.2,0.2,0.0,1,1,5,7,71.4,1,8,0,0,0,strong,5,L,1–2,100.0,3
20,2023-12-26,Tue,Pro League A,Regular season,1,Antwerp,N,22,2,0,0,0,2,2,0,0,7,0,0,0,1.0,1.0,0.0,0,0,3,4,75.0,0,5,1,0,0,strong,1,W,3–0,100.0,3
21,2024-01-20,Sat,Pro League A,Regular season,1,Cercle Brugge,Y,90,0,0,0,0,3,0,0,0,42,0,0,0,0.2,0.2,0.1,4,0,12,27,44.4,2,23,4,1,1,strong,5,D,1–1,0.0,3
22,2024-01-28,Sun,Pro League A,Regular season,0,Sint-Truiden,N,66,0,0,0,0,2,1,0,0,27,0,0,1,0.3,0.3,0.0,2,0,7,15,46.7,1,17,0,0,0,medium,6,D,1–1,50.0,2
23,2024-01-31,Wed,Pro League A,Regular season,0,OH Leuven,Y,90,0,0,0,0,4,1,0,0,33,1,0,2,0.4,0.4,0.0,1,0,11,16,68.8,4,22,1,1,0,weak,2,L,1–2,25.0,1
24,2024-02-03,Sat,Pro League A,Regular season,1,Union SG,N,17,0,0,0,0,1,1,0,0,10,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,5,0,2,0,strong,5,L,0–1,100.0,3
25,2024-02-11,Sun,Pro League A,Regular season,0,Mechelen,Y,90,1,0,0,0,7,1,0,0,44,0,1,2,0.6,0.6,0.0,3,0,16,22,72.7,0,27,0,1,0,medium,6,D,1–1,14.285714285714285,2
26,2024-02-17,Sat,Pro League A,Regular season,1,RWD Molenbeek,Y,63,1,0,0,0,7,3,0,0,31,1,1,0,1.7,1.7,0.0,0,0,6,11,54.5,2,19,0,2,0,weak,5,W,3–1,42.857142857142854,1
27,2024-02-23,Fri,Pro League A,Regular season,0,Charleroi,Y,90,0,0,0,0,3,2,1,0,48,0,1,1,0.1,0.1,0.5,9,0,23,32,71.9,2,37,1,2,1,weak,4,W,1–0,66.66666666666666,1
28,2024-03-03,Sun,Pro League A,Regular season,1,Club Brugge,Y,56,0,0,0,1,3,2,0,0,24,1,0,0,1.1,0.3,0.1,2,0,10,15,66.7,0,18,1,0,0,strong,6,L,0–3,66.66666666666666,3
29,2024-03-10,Sun,Pro League A,Regular season,1,Standard Liège,N,55,0,0,0,0,4,0,0,0,34,2,0,2,0.3,0.3,0.1,3,0,17,20,85.0,2,23,0,0,0,medium,6,W,1–0,0.0,2
